Country,Total,Very happy,Quite happy,Not very happy,Not at all happy
Albania,1000,97,491,306,99
Algeria,1282,206,828,153,49
Argentina,1280,422,620,198,31
Bangladesh,1500,222,939,306,32
Bosnia Herzegovina,1200,260,722,180,28
Canada,1931,850,996,77,8
Chile,1200,432,527,227,7
China,1000,115,663,190,28
India,2002,507,953,418,90
Indonesia,1000,205,740,47,3
Iran,2532,582,876,724,147
Iraq,2325,307,1139,609,242
Israel,1199,326,602,203,52
Japan,1362,379,799,135,8
Jordan,1223,157,857,152,53
South Korea,1200,115,937,128,20
Kyrgyzstan,1043,207,669,155,5
Mexico,1535,867,530,111,15
Moldova,1008,60,437,439,41
Montenegro,1056,86,604,283,22
Morocco,1251,279,721,193,56
Nigeria,2022,1351,506,148,18
Pakistan,2000,392,1120,410,52
Peru,1501,462,530,482,24
Philippines,1200,461,590,140,7
Puerto Rico,720,384,293,37,4
Saudi Arabia,1502,665,706,116,11
Serbia,1200,144,738,250,46
Singapore,1512,434,999,70,6
Vietnam,1000,486,428,69,6
South Africa,3000,1155,1164,552,126
Zimbabwe,1002,199,354,353,93
Spain,1209,243,809,133,17
Sweden,1014,371,576,49,15
Turkey,3401,1173,1445,476,303
Uganda,1002,263,527,192,20
North Macedonia,1055,202,586,214,51
Egypt,3000,543,2139,264,48
Tanzania,1171,658,432,49,14
United States,1200,468,648,70,6
Venezuela,1200,682,354,155,10
